属性グループ名,数
所属状況,2
係相当格１,2
部・室・支社,2
課・室・他,2
所属(店舗・部署),2
管理者,2
ロール2,2
兼務状況,2
在職者,2
組織（課）,2
一段組織,2
企業滞留年月(改),2
原籍会社名称,2
原籍会社滞留年月(改),2
資格滞留年月(改),2
会社（事業部）,2
本部名,2
係名,2
幹部一般,2
所属ー本部,2
所属ー部,2
追加3,2
適用人事制度,2
グループ・室・局,2
勤続年数・入社年月,2
Lv4,2
楽天での勤続年数,2
社員,2
職場環境,2
表彰歴,2
採用体制変更,2
チーム/係,2
tesutoyou,2
MCE中途オンボーディング用,2
生活環境,2
年収,2
元籍,2
年齢(57歳判別用),2
本部・営業店,2
役割群,2
役職名（詳細）,2
組織レイヤー２,2
組織レイヤー３,2
グループ／ブロック,2
部（支店、室等）,2
課（室）,2
満勤続年数,2
所属ユニット,2
職位等,2
領域（自己申告）,2
工事部,2
勤続年数別,2
都道府県,2
SPからの出向,2
グループセキュリティ統括室,2
所属名6,2
人財共育部,2
チーム名,2
主な勤務地,2
時差・時短勤務,2
新規追加,2
性別(2018.01),2
部所,2
エリア・課・チーム,2
エリア・チーム,2
第一言語,2
その他②,2
異動経験,2
課・センター,2
本社・本部・支社,2
コース（2023.12実施）,2
職階（2023.12実施）,2
事務局,2
課支社分類詳細,2
役員フラグ,2
出向出,2
職系,2
職種2,2
店舗など,2
運営本部,2
店舗・部署毎,2
項目１,2
項目７,2
部3,2
運営本部(組織長除く),2
生まれ年度,2
調査用職種,2
部長(チームで働く力),2
課長(チームで働く力),2
直接・間接区分,2
支店出張所,2
直轄,2
部門（部・室）,2
部長付,2
社長付,2
部付,2
部・支局,2
事業領域,2
在宅勤務,2
開発組織,2
新課,2
役職(統合),2
部／工場／営業所,2
年齢（統合）,2
所属部署Ｂ,2
所属部署Ｃ,2
部署・チーム,2
ユニット名,2
項目９,2
部署（2021年11月-）,2
新任,2
上司設定,2
組織長区分,2
職務等級,2
BUセンター格①,2
部格①,2
事業会社②,2
部格②,2
職位等級,2
配偶者,2
管理番号,2
事業部・支社,2
今年度月平均残業時間,2
グループ＆室,2
アソシエイト分類,2
アソシエイト区分,2
作業場所,2
昇格,2
グループ／ユニット,2
再集計,2
職種別,2
勤務地等(組織階層3),2
事業部・営業所,2
2nd line,2
チーム・支局,2
担当職務,2
採用区分２,2
Year of service,2
役職・階層,2
Business Segment,2
ﾋﾞﾙ施設運営部4,2
系統,2
現在の社員区分,2
新チーム,2
事業部(部・支社),2
店舗名_,2
none,2
転勤経験,2
海外勤務経験,2
所属③,2
所属⑥,2
採用年,2
ｾｸﾞﾒﾝﾄ,2
年齢帯,2
A04最終学歴_学歴六分類名称,2
旧社区分,2
役職まとめ,2
職等名,2
全社共通パルス,2
所属組織（階層１）,2
所属組織（階層２）,2
旧社員区分,2
性別区分,2
居所事業所,2
追加設問用属性,2
チーム・課,2
疎通確認用属性グループ2,2
疎通確認用属性グループ3,2
採用年月日（１年）,2
会社（雇用元）,2
三段組織,2
旧会社,2
再集計用,2
管掌役員,2
旧職種,2
学齢,2
ロール3,2
学歴区分,2
事業室,2
人事コース,2
出所,2
ユニット・子会社,1
部・室・支店,1
残業時間の自覚,1
部門-2,1
CS本部,1
資格・等級,1
事務,1
特区,1
所属事業本部・事業部,1
BF ※本社以外：所属の社名をご選択ください,1
AWS資格取得,1
浅草橋ヒューリックホール&カンファレンス,1
メンターチーム,1
生産性企画に関わっている,1
L3_Section,1
部署階層4,1
子どもの年齢(下の子の年齢),1
当期異動希望,1
3期前貢献評価,1
コンピテンシー評価,1
係/チーム,1
役職/職種/職務系統,1
言語,1
その他組み分け１,1
教室,1
組織20：本部,1
採用形態＋勤続年数,1
出張所③・作業所②,1
新組織：課（2022/05）,1
新組織：本部（2022/05）,1
勤続年数（従業員になってからの年数）,1
責任等級,1
【入社時】IT：SPI：内省性,1
【入社時】IT：SPI：自責性,1
【入社時】IT：SPI：独自性,1
【入社時】IT：SPI：自信性,1
性別_,1
部①_,1
制度の利用,1
入社年度（5年刻み）,1
階層３,1
正部長,1
(LV4)事業所･支社･営業部･統括部･事業部,1
ＬＶ９,1
派遣,1
直近の行動評価,1
在職区分,1
マネージャーグループ④,1
評価２,1
表彰,1
子情報,1
本部（組織階層1）,1
部署(小),1
係(使用不可),1
工場作業,1
D1,1
青オペ,1
新組織(202405~),1
属性詳細,1
中部,1
部署-第三階層,1
部署-第五階層,1
部署-第六階層,1
退職分析,1
組織（階層2）,1
組織（階層3）,1
営業フラグ,1
DIP派遣,1
メンバー分け,1
