属性グループ名,数
新卒社員,1
行員番号区分,1
事業本部/事業部/本部,1
部/室/センター,1
グループ/課/チーム/室,1
運用系統名,1
単身赴任有無,1
所属会社(2023年3月時点),1
社員区分(2023年3月時点),1
カンパニー/部（間接部門）,1
(営)/課,1
Position/Job Rank,1
G長,1
社内_ 販売(73),1
有期_無期,1
評価結果得点率,1
レベル6,1
Udemy利用者,1
支店（かんぽサービス部除く）,1
新規属性2,1
部・室など,1
その他組み分け01,1
その他組み分け03,1
所属滞留期間,1
営業・職能,1
店支部役職,1
G・支店・営業所,1
SMJ分社,1
SMJ-BS）担当,1
主職務または主職種,1
役職／職位,1
現職群名,1
年代②,1
組織別,1
所在地,1
組織１０：会社,1
組織２０：本部,1
組織４０：エリア,1
組織７０：その他,1
役職（管理職or担当職）,1
居所（事業本部）,1
所属店舗・所属部門,1
他場所・他社経験,1
社歴1,1
部署（2）,1
年齢(4/1時点),1
部.,1
年齢.,1
入社形態.,1
LS、LMAサービスへの配属年数,1
LS、GLS、LMA、GIの合計勤続年数,1
カンパニー・部門,1
事業部・センター・部,1
サブユニット,1
生まれ（年代）,1
役員除く結果,1
LLP参加,1
社会人歴,1
広報,1
ガンダムブレイカーモバイル,1
今夜くらべてみました,1
ファミリーマート,1
日本テレビ（宣伝部SNS運用アドバイザリー）,1
2021年2月1日or4月5日ダーウィン研修,1
ミッショングレード・呼称,1
本部（一部対象者）,1
＜ＳＦ専用＞拠点別,1
dummy,1
【役職】前回比較用,1
Gr名,1
バンド帯,1
本部・企・PF,1
職種／チーム,1
入局年,1
プロジェクト（スクアッド）,1
A03国籍名称,1
統括部/本社/事業所,1
日本語レベル,1
組織業態,1
人件費,1
所属（本社・事業所）,1
年間評価,1
部内兼務状況,1
従事専門分野,1
総労働時間,1
役職（新規・既存）,1
TLテーマ,1
グループ・係・チーム,1
出身（転籍者orプロパー）,1
課/室,1
社員入社年,1
本・支店,1
グループ、出張所、作業所等,1
サポーター制度,1
グループ（所属）,1
機材センター（所属）,1
機材センター（部署）,1
(業務上の)職種,1
赴任形態,1
指定管理,1
営業所・グループ,1
回答グループ,1
部課グループ・営業所,1
営業所・グループ・駐在,1
明細グループ,1
組織２,1
組織４,1
社外副業,1
所定外労働免除(育児),1
部署名７,1
Work Pass Type,1
GM・GM代理管掌,1
プロジェクト区分,1
部門L1,1
部門L3,1
職種グループ,1
部署別４,1
統括部名,1
グループ統括部名,1
ライン職制,1
格付け,1
生年月,1
勤務地タイプ,1
勤続年数(T1・2入社),1
部門（中）兼務以外,1
部署・営業所,1
区分B,1
担当マネージャー,1
勤務地区分・コース区分,1
組織名要確認,1
社員コース,1
TS,1
グループ名(組織長含む),1
定例MTG,1
2015年度以降新卒,1
LM主催_マネジメント研修参加者,1
セクション・グループ・チーム,1
雇用主会社,1
若手セッション,1
セクション・グループ（退職者除く）,1
G-000012,1
年齢階級,1
資格レベル,1
職位・役職,1
勤務地ブロック,1
フリー手当,1
6桁CD,1
社員区分（受入出向含む）,1
ミッションG（統合）,1
勤続年数（3年単位）,1
勤続年数（10年単位）,1
年齢（1年単位）,1
年齢（10年単位）,1
部所属,1
就労滞留基準日（10年刻み）,1
有給,1
AWS Top Engineers,1
社内表彰,1
GC Top Engineers,1
設備区分,1
工事長・所長以外区分,1
権限設定,1
部署（課・営業所）,1
制度,1
所属部門（小分類）,1
制度×所属×コース,1
採用区分×制度×コース,1
家族構成（婚姻有無）,1
家族構成（婚姻×子有無）,1
居住地（都道府県）,1
インターンシップ第２部,1
プロジェクト推進部,1
センター（階層下位）,1
組織（階層4）,1
組織（階層6）,1
組織レベル4,1
能力の活用,1
標語,1
Zキャンプ参加エリア,1
勤続年数'20230713,1
部・ブロック (Department),1
所・オフィス・チーム (Section),1
勤務地（Office Location）,1
勤務年数区分,1
グループ／室,1
ＢＵ・センタ相当格２,1
前回サーベイ(2023年11月)対象,1
処遇区分,1
本社・東京本社,1
課・グループ等,1
評価（定量）,1
優秀度（定性）,1
職歴,1
在籍区分ステータス,1
大学新卒,1
男女別,1
入社時期（正社員）,1
担当事業,1
レベル1,1
入社暦,1
分析用属性02,1
部(2017.09),1
クラス(2017.09）,1
部門(2017.09）,1
職位(2017.10),1
社長直轄２,1
資格＋職分名称,1
RS事業部,1
組合員区分名,1
CHANTOPJT,1
実施時期,1
Dept&Team_2,1
★特別作成2,1
Div・部署名,1
比較2022.2,1
直属,1
オフィス名称,1
マーケ4-5月入社以外,1
年代5,1
社員区分2,1
勤務所属,1
４本部,1
インシデント改修確認グループ1,1
インシデント改修確認グループ3,1
事業部・ブロック,1
CC事業部,1
BPO部,1
情報システム・セキュリティグループ,1
キャピタルパートナーシップ,1
Team3,1
４：１段部,1
６：３段部(課・担当),1
PJ_AVENGER,1
PJ_PJ-Corvus,1
活躍度,1
※追加分析用※管理職,1
所属部門（中分類）,1
アグリ個別対応,1
入社年月日（BS開局時詳細）,1
全社（23年対象者のみ）,1
実年齢,1
コード,1
所属3-,1
拠点滞留（3年）,1
2.事業部ごとに、今回研修参加者のメンバーをまとめた前回結果,1
7.事業部ごとに今回研修参加者自身とそのメンバーを除いた「課長/課長代理・UL/主任」の全体結果,1
9.今回研修参加者を除いた「部長/副部長級」をまとめた全体結果,1
11.事業部ごとに今回研修参加者を除いた「部長/副部長級」をまとめた全体結果,1
Job Tittle,1
JobGrade,1
社歴（通算）,1
部下有無,1
プロフェッショナルグループ（※選択しないで下さい）,1
在宅・サテライトオフィス等の活用度[3ヶ月平均],1
group,1
扶養状況,1
組織/大分類,1
組織/小分類,1
所属店舗・チーム,1
統括G,1
課・室・営業所,1
入社形態※最新,1
雇用形態※最新,1
部※最新,1
本部別,1
部門②※最新,1
階層４a,1
役職a,1
社員区分（コース）a,1
FS対象属性①,1
FS対象属性⑤,1
NEW,1
ソーシャルスタイル別,1
役職/役割別,1
チーム1,1
アクションプラン担当者,1
組織開発系研修,1
DXWG,1
Dept_22/10,1
資格等級②,1
3分間コーチ,1
経営会議,1
課修正,1
支援本部,1
公募・ジョブチャレ経験者,1
旧本部・事業部・センター,1
部内室、営業事務所,1
事業所・事業場,1
組合区分,1
組織サイズ（まとめ）,1
2022年10月の人事評価ランク,1
旧人事コース,1
1.Position,1
4.Education,1
6.Branch,1
Position/Job Rank(分析用）,1
セメントグループ分け,1
在職/退職,1
（ＬＶ２）,1
（ＬＶ９）,1
部署・課・チーム,1
有給取得状況（年間取得率）,1
入社年月日（5年ごと）,1
業務名称,1
本社・支店・事業部,1
役職(部長・課長・係長・一般・再雇用・パート）,1
マーケティング本部（事業推進除く）,1
役割コース,1
休日出勤（累計時間）,1
所属（事技G・係）,1
年次有給休暇取得率,1
2023年度評価（給料改定指標）,1
昨年度新卒,1
新任グループ長,1
事業推進室,1
タイ事業戦略室,1
総務法務部,1
組織活性化研修 参加者フラグ,1
組織（店舗・チーム）,1
現所属での業務経験,1
人事考課(直近),1
適性検査(言語・論理),1
GATB(形態),1
フォーカスサーベイ実施用属性,1
年齢（5歳単位）,1
入庁年度（5年単位）,1
年次（5年単位）,1
年次（1年単位）,1
25年度_転籍,1
経営陣,1
主とする仕事場,1
3／20時点所属,1
3／20時点SSV,1
統括本部・統括部,1
正社員期間,1
正社員経験,1
組織（課・Ｇ）,1
Div．,1
会社滞留基準日（年）,1
原籍会社滞留基準日（年）,1
資格滞留基準日（年）,1
子供有無,1
職能1,1
事業部・店,1
兼務所属部署,1
グループ／チーム,1
部門サブ,1
組織レイヤー2,1
事業本部／室／センター,1
事業部／室,1
勤続年数（5年）,1
56期異動,1
担務,1
20021年4月の人事評価ランク,1
サーベイ対象区分,1
管理職研修参加5名,1
課・室・営業所・グループ,1
組織機能,1
任用形態,1
LMG入社年,1
所属部署D,1
【東急電鉄】年代,1
【東急電鉄】現部署滞留,1
Japan Market Unit,1
前回評価,1
コース(2分類),1
管理職/一般社員,1
入社時期(直近5年),1
入社年（3年ごと）,1
年俸,1
直近評価,1
役職・職階,1
アクションプラン判定,1
D企画業務推進部,1
（組織階層0）会社,1
（組織階層2）部・室・ユニット,1
（組織階層4）事業会社,1
（組織階層6）部・室・ユニット（事業会社）,1
グループ所属員/NS,1
社員区分（RtMJ）,1
ファーカス用属性,1
本部/統括室・支社,1
評定区分,1
日本通運職位,1
部門/支店名,1
レーティング別組織,1
採用時区分,1
HD移行部署,1
本務所属名大,1
入社時学歴区分名,1
年代(比較用）,1
勤務地２,1
本社・販売所,1
25メンター,1
居所（組織１）,1
Department 2,1
属性別分析-1,1
属性別分析-2,1
社員区分詳細,1
居所（組織３）,1
テスト（○で回答）,1
支店OR支社名,1
役職（代理を含む）,1
事業部子会社,1
ミッショングレード,1
部署・グループ,1
入会日,1
入社時期(正社化),1
統括本部_19年5月,1
部・室_19年5月,1
チーム_19年5月,1
店舗経験,1
部室・工場,1
試行時マネージャグループ（※選択しないで下さい）,1
グループC,1
グループD,1
グループE,1
事業部　本部,1
C×P,1
所属部門２,1
25期上期Div・室,1
25期上期ｸﾞﾙｰﾌﾟ,1
新しいテスト,1
家族構成１,1
直近の異動,1
在宅率,1
勤続年数（202102）,1
2110分析用,1
メンターメンティー,1
2022年上期定量測定,1
課・室・チーム・グループ,1
職業分類,1
Sub Department,1
Tenure (per 1.0),1
Age(per 10 years),1
昇格者,1
室・センター（所属）,1
役職者区分,1
ILP受講,1
歳,1
２・３ 理念伝承チーム,1
事業所部室,1
25リクルーター,1
役職（１）,1
役職（３）,1
東京機械センター,1
大阪機械センター,1
四国機械センター,1
九州機械センター,1
役員管轄,1
D＆I課,1
Job Title(削除),1
Gender(削除),1
Age(削除),1
Race(削除),1
Marital status(削除),1
BRIDGEキャラクタライズ,1
管理職研修_役割,1
CXOランチ,1
Perf,1
営業支店,1
直近5年以内入社,1
土建区分,1
Creation,1
Class,1
採用応募区分,1
Designation,1
入社前のアドテク経験,1
事業部等,1
主役割,1
組織の管掌別,1
新規部署,1
WITH HARAJUKU HALL,1
所属本支店,1
コロナ在宅勤務日数,1
Business Title,1
Hire Date,1
部署階層3,1
子どもの有無,1
RP経験,1
その他組み分け２,1
組織50：支店/部門,1
組織６：代表課,1
課・営業所①・出張所①・工場・技術センター,1
出張所②・作業所①・基地・事務所,1
11月の平均出社頻度,1
(確認用)所属6,1
新組織：部/室（2022/05）,1
【入社時】CONS：ESP,1
【入社時】IT：SPI：持続性,1
【入社時】IT：SPI：慎重性,1
BU,1
管理職職層(詳細),1
ライン・チーム,1
分社_,1
事業部・本部_,1
在社歴年数,1
部署異動有無,1
階層１,1
階層２,1
本部サブ1,1
(LV3)本部,1
(LV6)課,1
(LV8),1
直近の業績評価,1
次世代幹部研修メンバー,1
ミナシゴ,1
VV,1
新組織(202406~),1
工事長区分,1
部署-第二階層,1
部署-第四階層,1
入社年（統合）,1
組織タイプ,1
ローテーション,1
事務局フラグ,1
等級詳細,1
被出向者/プロパー区分,1
部門・セクション2,1
社職区分,1
職位（役職）,1
資格名称（詳細）,1
現地,1
Ti,1
自分に影響を与えた国,1
Zone（廃止）,1
主な業務,1
担当クライアント,1
所属部室,1
ジクシスでの勤務開始,1
メンバー区分,1
センター・チーム等,1
スタッフ,1
調整用,1
勤続年数（旧）,1
課（担当）,1
OKRチーム,1
Language,1
管轄（キャスト）,1
グループ(メンバーのみ),1
プロジェクト参加可否,1
プロジェクト６,1
プロジェクトO365,1
新・所属,1
校舎名①,1
インターンチーム,1
研修生配属先,1
職位（ｻｰﾍﾞｲ用）,1
支社名,1
部（運用）,1
その他組み分け５,1
ステイタス,1
部署2（兼務者含む）,1
資格別,1
課_,1
部②_,1
BU・センター②_,1
TTP平均送信,1
TTP平均受信,1
1on1FB率,1
管理用組織２,1
階層別責任者,1
竹橋本社,1
ソリューションズ・本部,1
入社時期（大分類）,1
2022所属,1
コミュニケーションクラウドフラグ,1
分析軸A,1
異動日,1
海外勤務,1
その他属性追加２,1
特性別,1
全体結果（NSS除く）,1
課(詳細),1
上位所属名称,1
性別（派遣社員除く）,1
26リクルーター,1
総務法務本部,1
グループDX本部,1
web回答者,1
役職群,1
係相当格(直属),1
事業部相当格(直属),1
ＢＵ・センタ相当格(直属),1
班相当格(直属),1
部署（カンパニー）,1
等級Grade,1
入社時期Hire date,1
TOEIC Score,1
年齢Age,1
統括ユニット,1
ゾーン,1
事業所（親）,1
現役職経験年数,1
エンティティ,1
チーム毎,1
年齢(2018.01),1
チーム(2018.02),1
役職（2017.12）,1
等級（2017.12）,1
部・課(2017.12),1
クラス(2017.12),1
課（2017.12）,1
階層（2017.12）,1
出向（2017.12）,1
年齢（2017.12）,1
資格（2018.01）,1
階層別(2018.01),1
入社経緯別(2018.01),1
分析用属性03,1
部非該当,1
転勤区分その他,1
所属部門１（QR回答除く）,1
Head quarter,1
ブロック・部,1
本部（部長以下）,1
組織/大分類2,1
属性テスト,1
直近の働き方,1
事業部（分析用）,1
旧）グループ,1
旧）年齢層,1
等級(退職者除く),1
役職(退職者除く),1
性別(退職者除く),1
プロジェクト2（複数ある方は複数回答お願いします）,1
グループ（リーダー以下）,1
部（メンバーのみ）,1
本部（マネージャー）,1
新規属性（2021年6月）,1
組織／大分類（退職者除く）,1
勤務スタイル,1
入社年次(半期）,1
MKTG,1
室/部,1
小チーム,1
出向年度,1
大塚テスト,1
年間行動評価,1
グローバル人財,1
Ph,1
組織（大分類）,1
非組織属性G1,1
資格手当制度利用有無,1
半年の昇降格,1
CSチャレンジ有無,1
部門・管掌,1
本社区分,1
ＴＤＳ入社時形態,1
現在の主な職務内容,1
現在の職務での主な顧客,1
プロジェクト4,1
【東急電鉄】勤続年数,1
（Ｓグループ）勤続年数,1
部署（支社・部）,1
新属性2,1
事務局ラベル1,1
他社出向区分,1
課長発令日,1
部（階層上位）,1
女性営業交流会,1
部店コード,1
保険ショップ事業一体化,1
部・室・店・営業所,1
現部署在籍年数,1
資格のみ,1
Occupation,1
Joining Period,1
本社・本部,1
ＢＵ・センタ相当格2,1
ユニット (チーム),1
会社／本部,1
部もしくは局,1
所属グループ（主務）,1
部署３,1
担当グループリーダー,1
職位ランク,1
課・室・局,1
組織（本部/室）,1
組織（事業部/エリア）,1
組織（課/店）,1
組織（チーム）,1
新職種分類,1
執行役員区分,1
出勤状態,1
チーム（2022年4月-）,1
Department/Unit,1
他社出向経験者,1
事業所(本社詳細),1
入社時社長,1
本支店営業所,1
部内部,1
分室・駐在,1
組織階層7,1
有給取得日数,1
組織役割等級,1
課支社,1
情ソリュシフト分析1,1
分析用_2,1
タレマネ,1
現組織階層１滞留歴,1
箇所内詳細（２）,1
現業／非現業／指令,1
選抜研修生,1
本部（中/日）,1
課（中/日）,1
上司CD_本部長,1
S１除く組織結果,1
兼務①アジェンダリーダーグループ,1
部門略,1
パートタイマー入社時期,1
社員年齢層,1
Chapter,1
キャリアレベル,1
プロジェクト・グループ（退職者含む）,1
人事管理区分,1
当年年休取得時間,1
学びの休職,1
MY choice研修,1
業務での越境,1
学びでの越境,1
DHIT,1
想定年収変動,1
投資公司,1
人財育成課 ＆ 総務・経理課,1
S1/YAKITORI,1
管理職育成PJT_部下（重複回避）,1
離職アラート,1
大阪ガスケミカル,1
研修参加者（LM作成）,1
バーチャル組織（防災市場技術課　A係）,1
バーチャル組織（防災市場技術課　C係）,1
เพศ / Gender,1
สาขาที่ใช้ยื่นสมัครงาน / Major for job application,1
สาขาที่เรียนล่าสุด / Latest major,1
สถานะภาพปัจจุบัน / Current status,1
อายุบุตรคนที่ 1 / Age of the 1st child,1
เพศของบุตรคนที่ 3 / Gender of 3rd child,1
プロジェクト　部署,1
休日出勤の有り・無し,1
職責／職能,1
サーベイ経験,1
CM,1
等級コード,1
ユニット_22,1
演者,1
セクション・グループ,1
事業部、チーム,1
部門別リーダー,1
動物,1
EG顕性,1
(さかえ)生年,1
育成プログラム,1
BiC在籍年数,1
サステナ兼務,1
MI推進チーム（NVC森下）,1
EES-PMO,1
NMP,1
電動PJセクション,1
課・ﾁｰﾑ,1
本部/会社,1
課/係,1
9カテゴリ,1
生まれ年度（5年刻み）,1
事業部Ｇ,1
アジェンダリーダーグループ,1
公募部門名,1
在宅勤務区分,1
2次上司(ワークフロー),1
グループ階層,1
PJ_RAIJIN,1
教室名,1
Webサービスチーム,1
内外勤手当区分,1
2022年度部門,1
キャリトーク,1
高ストレス者,1
所属第一階層,1
所属第二階層,1
22年サーベイ結果比較用,1
店番,1
地域ブロック（小）,1
営業統括部・SH建築統括部,1
部・営業部・建設所,1
担当/グループ名,1
定年延長,1
組織運営上の役割,1
有給消化率（直近1年）,1
兼務（広報・ブランディング推進室）,1
兼務（開発推進二部）,1
サンプレ送付＋受取枚数,1
サンプレ送付枚数,1
部店在籍年数,1
前年自己申告希望有無,1
兼務（経営企画部）,1
Management Team,1
部門・事業部,1
年齢(年代),1
所属2（部・営業所）（追加設問用）,1
人事部門（追加設問用）,1
出向者,1
妻(夫)の就業形態,1
送配電分析追加①,1
Seniority of the current position,1
入社年度（1年刻み）,1
MIチーム（兼務含む）,1
新規顧客開発チーム（兼務含む）,1
ブロック・グループ,1
工場（生産部）,1
クラス役職,1
ジョブレベル,1
学歴及び就学状況,1
所属店舗／工場,1
中途入社/受入区分,1
本部(21/3/31),1
部(21/3/31),1
事業または開発,1
所属L1,1
所属L2,1
所属L4,1
劇場/室,1
部下 (率直直言型) - 上司 (交渉取引型),1
校種,1
親属性G,1
本部／室,1
仮属性,1
部室長ｸﾗｽ,1
SV,1
②第二階層（部門）,1
④第四階層（部/室/ｶﾝﾊﾟﾆｰ）,1
本部/事業部/グループ（HD）,1
労基署別勤務地,1
L1営業所,1
費目,1
チーム（2021年11月-）,1
店等,1
本支社,1
職種（部門）,1
※以下今回不使用属性,1
性別（各社共通）,1
入庁時期,1
組織_JPO新潟鉱業所各グループ,1
組織_事業所課,1
マネジャー,1
外勤女性,1
チーム・エリア下階層,1
管・土・建区分,1
主任副主任研修,1
給与レンジ,1
健康管理センター,1
課/セクション,1
チーム/担当,1
主職種,1
"出身会社(UCOM,MAS,TNC）",1
総務部再集計,1
センター・室,1
HT割合,1
部/支店/営業所,1
部（室）・グループ・スタジオ,1
役割（職種単位）,1
人事考課_賞与（夏）,1
経営幹部育成PJT_参加者,1
直近入庁者,1
業務ライン,1
依願退職,1
チーム役職（福岡）,1
チーム（福岡）,1
年齢（age）,1
室部店所・出向先,1
主な作業場所,1
マネージャーＧ,1
店舗毎,1
店・課,1
課・エリア,1
チーム階層１,1
小学生以下のお子さま,1
⑪等級,1
過去3年考課ポイント合計,1
内勤・事業部,1
人物ランク,1
分析用（2021年7月）,1
役職（共通）,1
部/本社/支社,1
事業部・事業所,1
部長6,1
部長7,1
資格②,1
パートナーズ事業部区分,1
Seniority,1
FMI(2023年2月時点),1
その他①,1
成果評価,1
前年基本評価,1
前年成果評価,1
事務部,1
事務室,1
経営企画,1
Ev_B,1
小規模営業所,1
業務役,1
事業企画（企画職）,1
年収（2023年）,1
部門5,1
役職ランク,1
同行有無,1
新任・既存管理職,1
新職種,1
事業部他,1
成果業務・遂行評価,1
有給取得率,1
作業所・非作業所,1
職務範囲,1
事務局確認用,1
役職（2025.6実施）,1
子女（小学3年生まで）,1
ﾁｰﾑ・店舗,1
会社名(未使用),1
本社 × 部,1
本店/支店,1
3,1
Seniority (Length of working)Delete,1
Commuting methodDelete,1
入社媒体,1
所属支社,1
GRP,1
類人猿,1
入社・雇用形態,1
入社時期・出向常駐含,1
運営法人名,1
マネージャーG,1
部（FY19）,1
管理グループ,1
メンター,1
住友化学からの出向者,1
部下タイプ,1
等級/役職,1
Job Level,1
会社 ※出向者の方は出向先を選択,1
支援頻度,1
支援先,1
種類,1
SD室在籍期間,1
ユニットメンバー区分,1
等級在籍年数,1
Div.（2021年11月-）,1
従業員区分別,1
職掌別,1
チーム（メンバーのみ）,1
就労先,1
2020年度下期業績評価,1
2019年度下期業績評価,1
2019年度上期業績評価,1
ユニット／グループ,1
管理コード,1
役クラス,1
客先常駐か否か,1
部門（グルメ和光）,1
チーム（2022年11月-）,1
その他組み分け８,1
その他組み分け１１,1
その他組み分け１４,1
その他組み分け１５,1
その他組み分け１６,1
定期採用者・キャリア採用者,1
転籍者・転籍者以外,1
Employee type,1
組織略称（セグメント）,1
重要組織長区分,1
新卒受入日,1
その他組み分け１９,1
所課(メンバーのみ),1
役割系統,1
所属（本部・営業店）,1
所属部店,1
係・グループ①　※「該当なし」は使用しないでください。,1
支社組織（串刺し集計）,1
日本語可能可否(回答者選択),1
出退勤所要時間(回答者選択),1
出退勤手段(回答者選択),1
雇用形態（商事）,1
旧コース,1
販売詳細/内勤区分,1
部・事業所,1
①経営幹部候補-N1,1
園・センター等,1
資格等級GRP,1
チーム/グループ,1
勤務シフト,1
現職の勤続年数,1
管理人数,1
【関連会社還元用】プラグ２（FFG⇒関連会社出向者）,1
【関連会社還元用】プラグ3（ZDF、コンピューターサービス、Succession）,1
福岡銀行営業統括部グループ,1
クリニック,1
Team4,1
支給区分×年代,1
所属組織3,1
前回職階,1
個別確認,1
個別確認（品質管理部）,1
事業セグメント,1
2018年度社員旅行,1
業務開始時期,1
ポケモン制作グループ,1
マネージャー道場,1
働き方改革推進課,1
情報システム部,1
受託事業本部,1
課・チーム2,1
直属の上司,1
現役職の在任期間,1
入社形態（東芝Ｇｒ．入社形態）,1
三段部（グループ）,1
組織/小分類2,1
エリア（地方）,1
GAPS採用区分,1
新卒グループ,1
中途,1
2014年,1
2017年,1
2019年,1
候補メンバー,1
部署名 組織階層２,1
部署名 組織階層４,1
社籍,1
旧旧部署（2020年10月）,1
Gulliver_Auto店_001,1
(さかえ)役職,1
(さかえ)入社年,1
直営ランク,1
課・グループ/子会社,1
PJ_MSC,1
PJ_ORANGE,1
メカスマチーム,1
職位等③,1
マネジメント階層,1
共創PT,1
退職理由（大項目）,1
PF区分,1
基礎評価,1
CS等級,1
G-000002,1
G-000006,1
チーム・営業所,1
部署（兼務）,1
所属名称（第三階層）,1
所属名称（第一階層）,1
地元配属,1
在職状況,1
グループ・工場・チーム・エリア,1
階層（職能等級）,1
海外現地法人,1
ストア用,1
2nd組織×グレード,1
ユニットB,1
海外赴任有無,1
Category,1
入行区分,1
任意組織,1
業態別,1
既婚 / 未婚,1
統括グループ,1
Employeement Type,1
State,1
入社形態（SWCCのみ）,1
国籍（SWCCのみ）,1
所属1（本部）,1
所属事業本部（事業所）,1
部門5（予備）,1
役員研修参加者,1
グレードⅣ研修参加者,1
Pioneers,1
社,1
チーム（兼務者含む）,1
出向先区分,1
役割資格区分,1
チーム・業務【2024年4月サーベイ実施時】,1
役職【2024年4月サーベイ実施時】,1
THM参加,1
在退区分,1
雇用形態（分析）,1
学卒区分,1
課（グループ）,1
前回組織,1
ES部在籍歴,1
ルーツ,1
結婚有無,1
未婚既婚,1
在宅勤務平均日数,1
主な就業場所,1
所属Dept,1
チーム/プロジェクト,1
結婚歴,1
所属期間2,1
福岡Lab,1
役職 *vice含む,1
L1,1
L1.5,1
L2,1
今期の新卒フラグ,1
キャスト区分,1
期待,1
MI4,1
kenta1,1
kenta2,1
kenta3,1
旧経管PS/BMチームごと,1
グループ／ユニット_メンバー,1
部・室・グループ,1
働き方Type,1
GL区分,1
事業部/室/事務局,1
(削除予定)ブロック,1
役職Grp,1
社内等級,1
所属階層08,1
未来の役割,1
ＬＤ区分,1
エリア・事業所,1
社員種別名,1
組合名,1
事業本部（202303削除）,1
所属ユニット(2023年3月時点),1
上司の変更,1
事業所（孫）,1
課・支店・出向など,1
部門別一覧,1
その他組み分け04,1
定過区分,1
社員区分（採用形態）,1
役職名称_JNV,1
店支部,1
店支部年齢（5歳刻み）,1
センター等／部（支店・支社）,1
SMJ-直轄）職種,1
SMJ-BS）職種,1
SOSS）職種,1
SMJ-HS）担当,1
MOP,1
現職役職名,1
現職種名,1
現職種名②,1
社歴グループ,1
チーフ,1
PC貸与,1
在宅,1
組織70：グループ,1
組織３０：統括部,1
支店・拠点,1
Band区分,1
前職1,1
前職3マネジャー経験,1
部、室,1
全体データ,1
事業分類,1
新任Mgr,1
出向受入区分,1
リリーステスト,1
自治体SNSサービスメニュー企画,1
ベアミネラル,1
【x】新規属性グループ,1
2022年下期定量測定,1
志向,1
室・局（組織図の最上位）,1
職域区分,1
新所属,1
B01店社名称,1
B01所属名称,1
A04国籍名称,1
A07国籍名称,1
キーマン,1
統括部・支店・事業部,1
メンバーマネジメント,1
分析軸5,1
目標,1
組織診断サーベイ実施回数,1
役割区分－２,1
異動希望（直近3回の状況）,1
営業本部・駐在,1
ワークスタイル区分,1
専門職能資格,1
NEC,1
IISE/ NEC,1
年齢バンド,1
部・事業部・拠点・出向先,1
部・室・課・グループ,1
製販区分,1
ネクストチャレンジメンバー,1
所属組織レベル3,1
所属組織レベル4,1
営業地域,1
パートタイマー入社年,1
部（部署）,1
響灘火力発電所,1
支社・部,1
組織１,1
チーム・グループ・担当,1
本部・支店・支社・学園・長付,1
ラポールWS,1
MNB還元資料「プロパー＋出向者」グループごとスコア,1
深夜業制限,1
出向PJT,1
時間外（直近8ヶ月）,1
前年度の残業時間,1
担当サブリーダー,1
コア,1
入社企業,1
鉄道事業本部・担当②,1
鉄道事業本部・担当③,1
Field,1
ユニット名／部,1
部署別３,1
シニアG統括部名,1
部署（その３）,1
本部・管掌,1
局／グループ,1
部門（大）兼務以外,1
評価用２,1
立場,1
職種①,1
労働組合加入,1
所属コード1名,1
所属コード2名,1
所属コード3名,1
役員会議,1
未使用_チーム,1
未使用_年代,1
Tech,1
職能3※職能が3つある場合,1
新卒詳細,1
雇用形態②,1
課・Ｇｒ,1
ユニット名(組織長含む),1
会社2,1
組織（部・事業部）,1
組織略称（事業部・部・室）,1
資格名称・役割等級,1
プロジェクト_OQM/OAM,1
プロジェクト_Cueb(CMS),1
プロジェクト_河合塾新指導要領PJ,1
社長フラグ,1
部門１(組織長を除く),1
部(22入社除く）,1
課(22入社除く）,1
役職(22入社除く）,1
A01４／１年齢,1
前年度比較用,1
スクラム,1
ゾーンレベル,1
ｴﾘｱ,1
23年1月17日点回答者,1
課（チーム）,1
管理職・管理職以外,1
年齢（3年単位）,1
業務所属名称,1
SWB出身行名称,1
就労滞留基準日（1年刻み）,1
出向転籍企業名,1
AGグループ,1
PGグループ,1
現在部署在任期間,1
所属第六階層(掛),1
メリハリ,1
部・室・センター,1
考課結果（前回）,1
エンジニアリング区分,1
Ｍ級内訳,1
所属部門（大分類）,1
制度×所属,1
障がい者手帳保有者,1
居住地（エリア）,1
役職_Job title,1
性別_Sex,1
年齢_Age,1
２・３チーム,1
課（階層下位）,1
課（階層上位）,1
組織（階層1）,1
組織レベル3,1
組織レベル5,1
事業形態,1
やりがい・意欲,1
職務適性,1
現職務の変更希望,1
係_,1
フラグ3,1
会社名  (Company),1
年代  (Age),1
現主務部署所属時期,1
GPフラグ,1
新卒・中途フラグ,1
事業分野,1
主務,1
エリア。部門,1
「営業所」,1
63期新組織,1
資格級（まとめ）,1
本部・ブロック・グループ会社,1
日本語人材,1
T,1
本部・機能別本社,1
チーム１,1
職群・等級,1
パフォーマンス別,1
レベル3,1
職群・雇用形態,1
SV担当,1
入社経緯別,1
性別（2017.09）,1
役職（2017.09）,1
組織(2017.09),1
入社時期(2017.09),1
採用区分(2017.09),1
性別(2017.10),1
原籍(2017.10),1
事業部・統括部,1
中途、新卒,1
役職区分A,1
建家,1
休職退職,1
選択,1
所属-2,1
人事系,1
障がい者雇用,1
部・グループ・室,1
新等級E,1
Dept&Team_1,1
従業員コード,1
役割・業務変更,1
前回在籍状況,1
年間順位(2021年)※チーム加点有,1
2021年度部門,1
職種：小分類,1
組織メンバー,1
2022年3月以前入社者,1
年代10,1
（MCE）中途入社オンボーディング,1
職種区分2,1
職種区分3,1
